"X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Hencky","eyy [1] - Hencky","exy [1] - Hencky","e1 [1] - Hencky","e2 [1] - Hencky","gamma [1] - Hencky","cxx [1/mm] - 31 filter","cyy [1/mm] - 31 filter","cxy [1/mm] - 31 filter","c1 [1/mm] - 31 filter","c2 [1/mm] - 31 filter","gamma_c [1] - 31 filter","phi [rad] - 15 filter","sigma [pixel]","q_ref [pixel]","r_ref [pixel]"
15,25,7.06498,0.883441,0.47357,7.03439,0.0802874,0.0188324,0.0068206,0.0810354,0.0180843,0.109208,-0.0116956,-0.00250835,0.000518717,-0.00247913,-0.0117248,1.51457,-0.0277822,0.00502858,235.597,-19.5957
15.5,25,6.87428,0.890197,0.461792,6.8498,0.080356,0.0184321,0.0071192,0.0811641,0.0176241,0.112998,-0.0117117,-0.00252855,0.000517794,-0.00249942,-0.0117408,1.51465,-0.0288308,0.00525582,235.717,-19.8102
16,25,6.67628,0.894354,0.450191,6.65765,0.0804409,0.0180181,0.0074209,0.081311,0.017148,0.116712,-0.0117275,-0.00255102,0.000521064,-0.00252149,-0.011757,1.51426,-0.0298867,0.00518424,235.84,-20.0289
16.5,25,6.47156,0.895986,0.438005,6.45973,0.0805499,0.0175828,0.00772294,0.0814834,0.0166494,0.120272,-0.0117439,-0.00257478,0.00053144,-0.00254405,-0.0117746,1.5131,-0.0309429,0.00494394,235.974,-20.2571
17,25,6.25951,0.895393,0.425515,6.25442,0.0806565,0.01713,0.00802277,0.0816541,0.0161323,0.123698,-0.0117617,-0.00259838,0.000548903,-0.00256559,-0.0117945,1.51118,-0.032002,0.00473483,236.113,-20.4892
17.5,25,6.04038,0.892238,0.412575,6.0417,0.0807394,0.0166608,0.00831843,0.0818018,0.0155985,0.127007,-0.011781,-0.00262068,0.00057228,-0.00258504,-0.0118166,1.50865,-0.0330716,0.00490484,236.254,-20.7162
18,25,5.81356,0.885894,0.398825,5.82178,0.0808047,0.0161751,0.00861959,0.0819346,0.0150452,0.130331,-0.0118009,-0.00264105,0.000599547,-0.00260196,-0.01184,1.50571,-0.0341546,0.00503646,236.403,-20.9358
18.5,25,5.57795,0.876034,0.384792,5.59396,0.0808638,0.0156774,0.00892639,0.0820644,0.0144768,0.133645,-0.0118201,-0.00265867,0.000627448,-0.00261583,-0.0118629,1.50274,-0.0352575,0.00515122,236.563,-21.1568
19,25,5.33412,0.863141,0.3698,5.35846,0.0809181,0.0151638,0.00922859,0.0821891,0.0138929,0.136817,-0.0118374,-0.00267577,0.00065558,-0.00262904,-0.0118841,1.49973,-0.0363707,0.00533594,236.731,-21.3835
19.5,25,5.08192,0.848066,0.354262,5.11487,0.0809682,0.0146406,0.00953232,0.0823112,0.0132976,0.139934,-0.0118524,-0.00269272,0.000680043,-0.00264247,-0.0119027,1.49709,-0.0375048,0.00547795,236.905,-21.6178
20,25,4.82076,0.830284,0.338027,4.86254,0.081013,0.0141035,0.00984175,0.0824308,0.0126857,0.14305,-0.0118657,-0.00271061,0.000698311,-0.00265763,-0.0119186,1.49511,-0.0386591,0.00572075,237.086,-21.8515
20.5,25,4.55193,0.808196,0.321714,4.60283,0.0810522,0.0135519,0.0101494,0.0825454,0.0120588,0.146057,-0.0118777,-0.00273031,0.000707914,-0.00267582,-0.0119321,1.49402,-0.0398372,0.00591835,237.274,-22.086
21,25,4.27496,0.7807,0.304475,4.33449,0.0810944,0.0129857,0.0104548,0.0826632,0.011417,0.148932,-0.0118896,-0.00275185,0.000708049,-0.00269728,-0.0119442,1.49393,-0.0410358,0.0060897,237.466,-22.3243
21.5,25,3.9873,0.748709,0.28629,4.05728,0.0811418,0.012402,0.0107572,0.0827859,0.0107579,0.151661,-0.0119028,-0.00277439,0.000699648,-0.00272102,-0.0119562,1.49475,-0.0422498,0.00639365,237.675,-22.565
22,25,3.69079,0.713732,0.267791,3.77187,0.0812132,0.0117999,0.0110442,0.0829281,0.010085,0.154042,-0.011919,-0.00279652,0.000683938,-0.00274546,-0.0119701,1.49638,-0.0434878,0.00686157,237.893,-22.8046
22.5,25,3.38435,0.674558,0.248839,3.4761,0.081303,0.0111739,0.0113208,0.0830853,0.00939156,0.156145,-0.0119411,-0.00281703,0.000662262,-0.00276916,-0.0119889,1.49872,-0.044748,0.00799266,238.114,-23.055
23,25,3.07011,0.6308,0.228713,3.17175,0.0814479,0.0105213,0.0116095,0.0833,0.00866919,0.158183,-0.0119726,-0.00283504,0.000636608,-0.00279087,-0.0120167,1.50158,-0.0460315,0.00834027,238.338,-23.3047
23.5,25,2.74589,0.581504,0.207725,2.85973,0.0816986,0.00984942,0.011914,0.0836229,0.00792512,0.160106,-0.012019,-0.00284898,0.000608933,-0.00280871,-0.0120593,1.50478,-0.0473448,0.00801035,238.581,-23.5451
